Composition (atomic)                                                                                                    , Folder number, Type of phases                                                                                                              , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, Type of tests, σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
Al0.8CrCuFeNi2                                                                                                          ,            46, fcc                                                                                                                         ,                                     ,                              ,              ,                               ,                                    ,                                    ,                           
Al1.0CrCuFeNi2                                                                                                          ,            46, fcc + bcc                                                                                                                   ,                                     ,                              ,              ,                               ,                                    ,                                    ,                           
Al1.2CrCuFeNi2                                                                                                          ,            46, fcc + bcc                                                                                                                   ,                                     ,                              ,              ,                               ,                                    ,                                    ,                           
"AlTiCrFeNiCu (nominal, near-equiatomic)"                                                                               ,            47, Two BCC solid-solution phases + small amount of Fe2Ti                                                                       ,                                     ,                              ,              ,                               ,                                    ,                                    ,                           
"AlTiCrFeNiCu (nominal, near-equiatomic)"                                                                               ,            47, Two BCC solid-solution phases + small amount of Fe2Ti                                                                       ,                                     ,                              , C            ,                               , 1219                               ,                                    ,                           
Al5.37Ti10.24Cr52.04Fe27.77Ni3.05Cu1.53                                                                                 ,            47,                                                                                                                             ,                                     ,                              ,              ,                               ,                                    ,                                    ,                           
Al25Ti25Ni25Cu25                                                                                                        ,            48, FCC                                                                                                                         ,                                     ,                        537   , C            , 300                           , 536                                , 0.85                               ,                        108
Al25Ti25Ni25Cu25                                                                                                        ,            48, FCC                                                                                                                         ,                                     ,                        521   , C            , 284                           , 498                                , 0.67                               ,                           
Al25Ti25Ni25Cu25                                                                                                        ,            48, FCC                                                                                                                         ,                                     ,                        518   , C            , 760                           , 870                                , 0.96                               ,                           
Al25Ti25Ni25Cu25                                                                                                        ,            48, FCC                                                                                                                         ,                                     ,                        416   , C            , 1103                          , 1263                               , 1.2                                ,                           
Al22.5Ti22.5Ni20Cu20Fe15                                                                                                ,            48, FCC1+FCC2                                                                                                                   ,                                     ,                        516   , C            , 980                           , 1326                               , 6.6                                ,                        145
Al22.5Ti22.5Ni20Cu20Fe15                                                                                                ,            48, FCC1+FCC2                                                                                                                   ,                                     ,                        434   , C            , 1065                          , 1210                               , 1.8                                ,                           
Al22.5Ti22.5Ni20Cu20Fe15                                                                                                ,            48, FCC1+FCC2                                                                                                                   ,                                     ,                        575   , C            , 989                           , 1490                               , 8.5                                ,                           
Al22.5Ti22.5Ni20Cu20Fe15                                                                                                ,            48, FCC1+FCC2                                                                                                                   ,                                     ,                        370   , C            , 737                           , 1335                               , 8.8                                ,                           
Al20Ti20Ni20Cu20Fe20                                                                                                    ,            48, FCC1+FCC2                                                                                                                   ,                                     ,                        516   , C            , 1074                          , 1617                               , 8.2                                ,                        146
Al20Ti20Ni20Cu20Fe20                                                                                                    ,            48, FCC1+FCC2                                                                                                                   ,                                     ,                        365   , C            , 1158                          , 1670                               , 5.8                                ,                           
Al20Ti20Ni20Cu20Fe20                                                                                                    ,            48, FCC1+FCC2                                                                                                                   ,                                     ,                        544   , C            , 836                           , 1569                               , 13.5                               ,                           
Al20Ti20Ni20Cu20Fe20                                                                                                    ,            48, FCC1+FCC2                                                                                                                   ,                                     ,                        449   , C            , 697                           , 1247                               , 4.3                                ,                           
AlLiMgZnSn                                                                                                              ,            49, Mg2Sn/Li2MgSn + Al + Zn + beta-Sn                                                                                           ,                                 4.23,                              , C            , 600                           , 615                                , 1.2                                ,                           
AlLi0.5MgZn0.5Sn0.2                                                                                                     ,            49, Mg32(AlZn)49 + Mg2Sn/Li2MgSn + Al                                                                                           ,                                 3.22,                              , C            ,                               , 546                                ,                                    ,                           
Al80Li5Mg5Zn5Sn5                                                                                                        ,            49, Al + Mg2Sn/Li2MgSn + beta-Sn                                                                                                ,                                 3.05,                              , C            , 415                           , 836                                , 16                                 ,                           
Al80Li5Mg5Zn5Cu5                                                                                                        ,            49, Al + Al2Cu + AlCu3                                                                                                          ,                                 3.08,                              , C            , 488                           , 879                                , 17                                 ,                           
Al0.20Li0.20Mg0.10Sc0.20Ti0.30                                                                                          ,            50, fcc                                                                                                                         ,                                 2.67,                        591.4 ,              ,                               ,                                    ,                                    ,                           
Al0.20Li0.20Mg0.10Sc0.20Ti0.30                                                                                          ,            50, hcp                                                                                                                         ,                                 2.67,                        499.6 ,              ,                               ,                                    ,                                    ,                           
"Al0.20Li0.20Mg0.10Sc0.20Ti0.30 (N,O contaminated)"                                                                     ,            50, fcc                                                                                                                         ,                                     ,                        622.0 ,              ,                               ,                                    ,                                    ,                           
"Al0.20Li0.20Mg0.10Sc0.20Ti0.30 (N,O contaminated)"                                                                     ,            50, fcc-like (slight phase separation or distortion)                                                                            ,                                     ,                        601.6 ,              ,                               ,                                    ,                                    ,                           
"Al0.20Li0.20Mg0.10Sc0.20Ti0.30 (N,O contaminated)"                                                                     ,            50, fcc-like (slight phase separation or distortion)                                                                            ,                                     ,                        586.3 ,              ,                               ,                                    ,                                    ,                           
Al0.25Nb0.25Ti0.25V0.25                                                                                                 ,            51, bcc                                                                                                                         ,                                 5.59,                              , C            , 1000                          , 1280                               , 5.2                                ,                           
Al0.22Cr0.12Nb0.22Ti0.22V0.22                                                                                           ,            51, bcc                                                                                                                         ,                                 5.71,                              , C            , 1300                          , 1430                               , 0.8                                ,                           
Al0.20Cr0.20Nb0.20Ti0.20V0.20                                                                                           ,            51, bcc + C14 Laves                                                                                                             ,                                 5.82,                              , C            , 1550                          , 1570                               , 0.4                                ,                           
Al0.18Cr0.28Nb0.18Ti0.18V0.18                                                                                           ,            51, bcc + C14 Laves                                                                                                             ,                                 5.9 ,                              , C            , 1700                          , 1700                               ,                                    ,                           
Al0.25Nb0.25Ti0.25V0.25                                                                                                 ,            51, bcc                                                                                                                         ,                                 5.59,                              , C            , 780                           , 1005                               , 12.5                               ,                           
Al0.22Cr0.12Nb0.22Ti0.22V0.22                                                                                           ,            51, bcc                                                                                                                         ,                                 5.71,                              , C            , 1005                          , 1045                               , 2.5                                ,                           
Al0.20Cr0.20Nb0.20Ti0.20V0.20                                                                                           ,            51, bcc + C14 Laves                                                                                                             ,                                 5.82,                              , C            , 1015                          , 1060                               , 1.5                                ,                           
Al0.18Cr0.28Nb0.18Ti0.18V0.18                                                                                           ,            51, bcc + C14 Laves                                                                                                             ,                                 5.9 ,                              , C            , 1370                          , 1480                               , 0.8                                ,                           
Al0.25Nb0.25Ti0.25V0.25                                                                                                 ,            51, bcc + Nb2Al (after deformation)                                                                                             ,                                 5.59,                              , C            , 560                           , 700                                , >50                                ,                           
Al0.22Cr0.12Nb0.22Ti0.22V0.22                                                                                           ,            51, bcc + Nb2Al (after deformation)                                                                                             ,                                 5.71,                              , C            , 640                           , 685                                , >50                                ,                           
Al0.20Cr0.20Nb0.20Ti0.20V0.20                                                                                           ,            51, bcc + C14 Laves                                                                                                             ,                                 5.82,                              , C            , 860                           , 895                                , >50                                ,                           
Al0.18Cr0.28Nb0.18Ti0.18V0.18                                                                                           ,            51, bcc + C14 Laves                                                                                                             ,                                 5.9 ,                              , C            , 970                           , 1045                               , >50                                ,                           
Al0.25Nb0.25Ti0.25V0.25                                                                                                 ,            51, bcc + Nb2Al (after deformation)                                                                                             ,                                 5.59,                              , C            , 110                           ,                                    , >50                                ,                           
Al0.22Cr0.12Nb0.22Ti0.22V0.22                                                                                           ,            51, bcc + Nb2Al (after deformation)                                                                                             ,                                 5.71,                              , C            , 40                            , 80                                 , >50                                ,                           
Al0.20Cr0.20Nb0.20Ti0.20V0.20                                                                                           ,            51, bcc + C14 Laves                                                                                                             ,                                 5.82,                              , C            , 65                            , 95                                 , >50                                ,                           
Al0.18Cr0.28Nb0.18Ti0.18V0.18                                                                                           ,            51, bcc + C14 Laves                                                                                                             ,                                 5.9 ,                              , C            , 75                            , 105                                , >50                                ,                           
AlMo0.5NbTa0.5TiZr                                                                                                      ,            52, BCC1+BCC2 (2BCC)                                                                                                            ,                                 7.4 ,                          5.8 , C            , 2000                          , 2368                               , 10                                 ,                           
AlMo0.5NbTa0.5TiZr                                                                                                      ,            52, BCC1+BCC2 (2BCC)                                                                                                            ,                                 7.4 ,                          5.8 , C            , 1597                          , 1810                               , 11                                 ,                           
AlMo0.5NbTa0.5TiZr                                                                                                      ,            52, BCC1+BCC2 (2BCC)                                                                                                            ,                                 7.4 ,                          5.8 , C            , 745                           , 772                                , >50                                ,                           
AlNb1.5Ta0.5Ti1.5Zr0.5                                                                                                  ,            52, BCC (single-phase)                                                                                                          ,                                 6.88,                          4.0 , C            , 1280                          , 1367                               , 3.5                                ,                           
AlNb1.5Ta0.5Ti1.5Zr0.5                                                                                                  ,            52, BCC (single-phase)                                                                                                          ,                                 6.88,                          4.0 , C            , 728                           , 1000                               , >12                                ,                           
AlNb1.5Ta0.5Ti1.5Zr0.5                                                                                                  ,            52, BCC (single-phase)                                                                                                          ,                                 6.88,                          4.0 , C            , 403                           , 415                                , >50                                ,                           
Al0.4Hf0.6NbTaTiZr                                                                                                      ,            52, BCC (single-phase)                                                                                                          ,                                 9.05,                          4.9 , C            , 1841                          , 2269                               , 10                                 ,                           
Al0.4Hf0.6NbTaTiZr                                                                                                      ,            52, BCC (single-phase)                                                                                                          ,                                 9.05,                          4.9 , C            , 796                           , 834                                , >50                                ,                           
Al0.4Hf0.6NbTaTiZr                                                                                                      ,            52, BCC (single-phase)                                                                                                          ,                                 9.05,                          4.9 , C            , 298                           , 455                                , >50                                ,                           
Al0.3NbTaTi1.4Zr1.3                                                                                                     ,            52, BCC1+BCC2 (2BCC)                                                                                                            ,                                 8.18,                          4.8 , C            , 1965                          , 2054                               , 5.0                                ,                           
Al0.3NbTaTi1.4Zr1.3                                                                                                     ,            52, BCC1+BCC2 (2BCC)                                                                                                            ,                                 8.18,                          4.8 , C            , 362                           , 397                                , >50                                ,                           
Al0.3NbTaTi1.4Zr1.3                                                                                                     ,            52, BCC1+BCC2 (2BCC)                                                                                                            ,                                 8.18,                          4.8 , C            , 236                           , 247                                , >50                                ,                           
Al0.3NbTa0.8Ti1.4V0.2Zr1.3                                                                                              ,            52, BCC (single-phase)                                                                                                          ,                                 7.78,                          4.9 , C            , 1965                          , 2061                               , 5.0                                ,                           
Al0.3NbTa0.8Ti1.4V0.2Zr1.3                                                                                              ,            52, BCC (single-phase)                                                                                                          ,                                 7.78,                          4.9 , C            , 678                           , 693                                , >50                                ,                           
Al0.3NbTa0.8Ti1.4V0.2Zr1.3                                                                                              ,            52, BCC (single-phase)                                                                                                          ,                                 7.78,                          4.9 , C            , 166                           , 189                                , >50                                ,                           
Al0.5NbTa0.8Ti1.5V0.2Zr                                                                                                 ,            52, BCC1+BCC2 (2BCC)                                                                                                            ,                                 7.42,                          5.2 , C            , 2035                          , 2105                               , 4.5                                ,                           
Al0.5NbTa0.8Ti1.5V0.2Zr                                                                                                 ,            52, BCC1+BCC2 (2BCC)                                                                                                            ,                                 7.42,                          5.2 , C            , 796                           , 851                                , >50                                ,                           
Al0.5NbTa0.8Ti1.5V0.2Zr                                                                                                 ,            52, BCC1+BCC2 (2BCC)                                                                                                            ,                                 7.42,                          5.2 , C            , 220                           , 225                                , >50                                ,                           
HfNbTaTiZr                                                                                                              ,            53, single BCC solid solution                                                                                                   ,                                 9.72,                        295   , C            , 1073                          ,                                    , >50                                ,                         55
Al0.3HfNbTaTiZr                                                                                                         ,            53, single BCC solid solution                                                                                                   ,                                 9.53,                        353   , C            , 1188                          ,                                    , >50                                ,                         63
Al0.5HfNbTaTiZr                                                                                                         ,            53, single BCC solid solution                                                                                                   ,                                 9.34,                        396   , C            , 1302                          ,                                    , 46                                 ,                         97
Al0.75HfNbTaTiZr                                                                                                        ,            53, single BCC solid solution                                                                                                   ,                                 9.27,                        427   , C            , 1415                          ,                                    , 30                                 ,                        102
AlHfNbTaTiZr                                                                                                            ,            53, "BCC (Nb,Ta-rich) + BCC (Al,Hf,Zr-rich)"                                                                                    ,                                 8.91,                        441   , C            , 1489                          ,                                    , 21                                 ,                        103
NbTiMoV                                                                                                                 ,            54, BCC solid solution                                                                                                          ,                                     ,                        440.7 , C            , 1200                          ,                                    , 25.62                              ,                           
Al0.25NbTiMoV                                                                                                           ,            54, BCC solid solution                                                                                                          ,                                     ,                        460.1 , C            , 1250                          ,                                    , 12.91                              ,                           
Al0.5NbTiMoV                                                                                                            ,            54, BCC solid solution                                                                                                          ,                                     ,                        486.5 , C            , 1625                          ,                                    , 11.25                              ,                           
Al0.75NbTiMoV                                                                                                           ,            54, BCC solid solution                                                                                                          ,                                     ,                        516.6 , C            , 1260                          ,                                    , 7.5                                ,                           
AlNbTiMoV                                                                                                               ,            54, BCC solid solution                                                                                                          ,                                     ,                        536.6 , C            , 1375                          ,                                    , 2.5                                ,                           
Al1.5NbTiMoV                                                                                                            ,            54, BCC + ordered phase                                                                                                         ,                                     ,                        556.4 , C            , 500                           ,                                    , 1.3                                ,                           
NbTiVTa                                                                                                                 ,            55, Single-phase BCC solid solution                                                                                             ,                                     ,                              , C            , 1092                          , 3500                               , 52                                 ,                        100
NbTiVTaAl0.25                                                                                                           ,            55, Single-phase BCC solid solution                                                                                             ,                                     ,                              , C            , 1330                          , 3600                               , 55                                 ,                         90
NbTiVTaAl0.5                                                                                                            ,            55, Single-phase BCC solid solution                                                                                             ,                                     ,                              , C            , 1012                          , 3150                               , 58                                 ,                         95
NbTiVTaAl1.0                                                                                                            ,            55, Single-phase BCC solid solution                                                                                             ,                                     ,                              , C            , 991                           , 3300                               , 65                                 ,                        100
Al0.266Nb0.238Ti0.251V0.245                                                                                             ,            56, single bcc                                                                                                                  ,                                 5.59,                              ,              ,                               ,                                    ,                                    ,                           
Al0.266Nb0.238Ti0.251V0.245                                                                                             ,            56, single bcc                                                                                                                  ,                                 5.59,                       4315   ,              ,                               ,                                    ,                                    ,                           
Al0.266Nb0.238Ti0.251V0.245                                                                                             ,            56, single bcc                                                                                                                  ,                                 5.59,                       4394   ,              ,                               ,                                    ,                                    ,                           
Al0.266Nb0.238Ti0.251V0.245                                                                                             ,            56, single bcc                                                                                                                  ,                                 5.59,                       4394   , C            , 1020                          , 1318                               , 5                                  ,                           
Al0.266Nb0.238Ti0.251V0.245                                                                                             ,            56, single bcc                                                                                                                  ,                                 5.59,                       4394   , C            , 810                           , 1050                               , 12                                 ,                           
Al0.266Nb0.238Ti0.251V0.245                                                                                             ,            56, single bcc                                                                                                                  ,                                 5.59,                       4394   , C            , 685                           ,                                    ,                                    ,                           
Al0.266Nb0.238Ti0.251V0.245                                                                                             ,            56, single bcc                                                                                                                  ,                                 5.59,                       4394   , C            , 158                           ,                                    ,                                    ,                           
Ti20Zr20Hf20Nb20V20                                                                                                     ,            57, BCC + u                                                                                                                     ,                                     ,                          3.8 , C            , 1170                          , 1463                               , 29.6                               ,                        128
Ti20Zr20Hf20Nb20V20                                                                                                     ,            57, BCC                                                                                                                         ,                                     ,                          3.85, C            , 1120                          , 1376                               , 30.0                               ,                           
Ti20Zr20Hf20Nb20V20                                                                                                     ,            57, BCC                                                                                                                         ,                                     ,                          3.82, C            , 1253                          , 1393                               , 38.0                               ,                           
Ti20Zr20Hf20Nb20V20                                                                                                     ,            57, BCC                                                                                                                         ,                                     ,                          3.86, C            , 1140                          , 1463                               , 29.7                               ,                           
Ti20Zr20Hf20Nb20V20                                                                                                     ,            57, BCC + V2M                                                                                                                   ,                                     ,                          3.81, C            , 1157                          , 1468                               , 39.6                               ,                           
Ti20Zr20Hf20Nb20Cr20                                                                                                    ,            57, BCC + L1 + L2                                                                                                               ,                                     ,                          4.55, C            , 1375                          , 2130                               , 2.8                                ,                        112
Ti20Zr20Hf20Nb20Cr20                                                                                                    ,            57, BCC + L1 + L2                                                                                                               ,                                     ,                          4.57, C            , 1420                          , 1885                               , 4.2                                ,                           
Ti20Zr20Hf20Nb20Cr20                                                                                                    ,            57, BCC + L1 + L2                                                                                                               ,                                     ,                          4.7 , C            , 1457                          , 1908                               , 2.2                                ,                           
Ti20Zr20Hf20Nb20Cr20                                                                                                    ,            57, BCC + L1 + L2                                                                                                               ,                                     ,                          4.8 , C            , 1322                          , 1726                               , 1.4                                ,                           
Ti20Zr20Hf20Nb20Cr20                                                                                                    ,            57, BCC + L1 + L2                                                                                                               ,                                     ,                          4.5 , C            , 1328                          , 1884                               , 4.5                                ,                           
Ti20Zr20Hf20Nb20Ta20                                                                                                    ,            57, BCC                                                                                                                         ,                                     ,                          3.83, C            , 929                           ,                                    , 50.0                               ,                           
