Composition                               , Type_of_phases                                              , rho  , HV    , Type_of_tests, sigma_Y, sigma_max, epsilon, E      , Folder
HfNbSi0.5TiVZr                            , BCC + silicide + V-rich                                     ,  7.75,  464  , C            ,  920   ,   1252   ,        ,        ,     66
HfNbSi0.5TiVZr                            , BCC + silicide + V-rich                                     ,  7.75,  464  , C            ,  371   ,    427   ,        ,        ,     66
HfNbSi0.5TiVZr                            , BCC + silicide + V-rich                                     ,  7.75,  496  , C            , 1483   ,   1611   ,    9.5 ,        ,     66
HfNbSi0.5TiVZr                            , BCC + silicide + V-rich                                     ,  7.75,  496  , C            , 1273   ,   1335   ,   14.5 ,        ,     66
HfNbSi0.5TiVZr                            , BCC + silicide + V-rich                                     ,  7.75,  496  , C            ,  597   ,    651   ,        ,        ,     66
HfNbSi0.5TiVZr                            , BCC + silicide + V-rich                                     ,  7.75,  496  , C            ,  102   ,    107   ,        ,        ,     66
TaNbHfZrTi                                , BCC                                                         ,  9.94,  382  , C            ,  929   ,          ,        ,        ,     66
NbTiVZr                                   , BCC                                                         ,  6.52,  328  , C            , 1105   ,          ,        ,        ,     66
CrNbTiVZr                                 ,                                                             ,  6.57,  472  , C            , 1298   ,          ,    3   ,        ,     66
HfNbTaTiZr                                , BCC                                                         ,  9.72,  289  , C            , 1073   ,          ,        ,        ,     66
Al0.5HfNbTaTiZr                           ,                                                             ,  9.34,  388  , C            , 1302   ,          ,   46   ,        ,     66
AlHfNbTaTiZr                              ,                                                             ,  8.91,  432  , C            , 1489   ,          ,   21   ,        ,     66
AlNbTiV                                   ,                                                             ,  5.59,  431  , C            , 1020   ,          ,    8.5 ,        ,     66
NbMoTaW                                   , BCC                                                         , 13.75,  446  , C            , 1058   ,          ,    2.6 ,        ,     66
VNbMoTaW                                  , BCC                                                         , 12.36,  542  , C            , 1087   ,          ,    2.4 ,        ,     66
Ta0.25Nb0.25Hf0.25Zr0.25                  , BCC                                                         ,      , 3575  , C            , 1315   ,          ,   21.6 ,        ,     67
Ta0.25Nb0.25Hf0.25Zr0.25                  , BCC                                                         ,      , 4250  , C            , 1739   ,          ,    2.25,        ,     67
Ta0.25Nb0.25Hf0.25Zr0.25                  , BCC                                                         ,      , 4800  , C            , 2000   ,          ,    1.0 ,        ,     67
Ta0.25Nb0.25Hf0.25Zr0.25                  , BCC                                                         ,      , 5598  , C            , 2310   ,          ,    0.35,        ,     67
Ta0.25Nb0.25Hf0.25Zr0.25                  , BCC                                                         ,      , 5300  , C            , 2100   ,          ,    0.5 ,        ,     67
Ta0.25Nb0.25Hf0.25Zr0.25                  , BCC + hcp                                                   ,      , 5100  , C            , 2050   ,          ,    2.0 ,        ,     67
Ta0.25Nb0.25Hf0.25Zr0.25                  , BCC + BCC + hcp                                             ,      , 5262  , C            , 2010   ,          ,    3.5 ,        ,     67
Hf0.5Nb0.5Ta0.5Ti1.5Zr                    , BCC                                                         ,  8.13,  301  , T            ,  903   ,    990   ,   18.8 ,        ,     68
HfNbTiZr                                  , BCC                                                         ,      ,       , T            ,  879   ,    969   ,   14.9 ,        ,     68
HfNbTaTiZr                                , BCC                                                         ,      ,       , T            ,  820   ,    870   ,    7.5 ,        ,     68
HfMoTaTiZr                                , BCC                                                         ,  9.94,       ,              ,        ,          ,        ,        ,     68
HfMoNbTaTiZr                              , BCC                                                         ,  9.97,       ,              ,        ,          ,        ,        ,     68
HfMoNbTiZr                                , BCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     68
MoNbTaVW                                  , BCC                                                         , 12.36,       ,              ,        ,          ,        ,        ,     68
MoNbTaW                                   , BCC                                                         , 13.75,       ,              ,        ,          ,        ,        ,     68
MoNbTaV                                   , BCC                                                         ,      ,       ,              ,        ,          ,        ,        ,     68
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,  929   ,          ,   50   ,        ,     69
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,  790   ,          ,        ,        ,     69
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,  675   ,          ,        ,        ,     69
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,  535   ,    692   ,        ,        ,     69
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,  295   ,          ,        ,        ,     69
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,   92   ,          ,        ,        ,     69
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,  285   ,    175   ,        ,        ,     69
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,  475   ,    368   ,        ,        ,     69
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,  543   ,    746   ,        ,        ,     69
Ta20Nb20Hf20Zr20Ti20                      , BCC                                                         ,  9.94,       , C            ,  550   ,    777   ,        ,        ,     69
Ta25Nb25Mo25W25                           , BCC                                                         , 13.8 , 4500  , C            , 1058   ,          ,        ,        ,     69
Ta25Nb25Mo25W25                           , BCC                                                         , 13.8 ,       , C            ,  405   ,          ,        ,        ,     69
Ta20Nb20V20Mo20W20                        , BCC                                                         , 12.4 , 5300  , C            , 1246   ,          ,        ,        ,     69
Ta20Nb20V20Mo20W20                        , BCC                                                         , 12.4 ,       , C            ,  477   ,          ,        ,        ,     69
Ta0.2Nb0.2Hf0.2Zr0.2Ti0.2                 , BCC                                                         ,  9.94, 3826  , C            ,  929   ,          ,   50   ,        ,     70
Ta0.25Nb0.25W0.25Mo0.25                   , BCC                                                         ,      , 4500  , C            , 1058   ,          ,        ,        ,     70
Ta0.2Nb0.2W0.2Mo0.2V0.2                   , BCC                                                         ,      , 5300  , C            , 1246   ,          ,        ,        ,     70
MoNbTaV                                   , BCC                                                         ,      , 4947  , C            , 1525   ,   2400   ,   21   ,        ,     72
Nb25Mo25Ta25W25                           , BCC                                                         ,      , 4460  , C            , 1058   ,   1211   ,    2.6 , 220    ,     73
V20Nb20Mo20Ta20W20                        , BCC                                                         ,      , 5420  , C            , 1246   ,   1270   ,    1.7 , 180    ,     73
TiZrNbV                                   , bcc                                                         ,  6.46,       , C            , 1104   ,          ,   50   ,        ,     74
TiZrNbMo0.3V                              , bcc                                                         ,  6.69,       , C            , 1289   ,          ,   42   ,        ,     74
TiZrNbMo0.5V                              , bcc                                                         ,  6.83,       , C            , 1473   ,          ,   32   ,        ,     74
TiZrNbMo0.7V                              , bcc                                                         ,  6.96,       , C            , 1706   ,          ,   32   ,        ,     74
TiZrNbMo1.0V                              , bcc                                                         ,  7.13,       , C            , 1779   ,          ,   32   ,        ,     74
TiZrNbMo1.3V                              , bcc+bcc                                                     ,  7.29,       , C            , 1496   ,          ,   30   ,        ,     74
TiZrNbMo1.5V                              , bcc+bcc                                                     ,  7.38,       , C            , 1603   ,          ,   20   ,        ,     74
TiZrNbMo1.7V                              , bcc+bcc                                                     ,  7.48,       , C            , 1645   ,          ,   15   ,        ,     74
TiZrNbMo2.0V                              , bcc+bcc                                                     ,  7.6 ,       , C            , 1765   ,          ,   12   ,        ,     74
TiZrNbV0.3                                , bcc                                                         ,  6.51,       , C            ,  866   ,          ,   45   ,        ,     74
TiZrNbV0.3Mo0.1                           , bcc                                                         ,  6.6 ,       , C            ,  932   ,          ,   45   ,        ,     74
TiZrNbV0.3Mo0.3                           , bcc                                                         ,  6.77,       , C            , 1312   ,          ,   50   ,        ,     74
TiZrNbV0.3Mo0.5                           , bcc                                                         ,  6.93,       , C            , 1301   ,          ,   43   ,        ,     74
TiZrNbV0.3Mo0.7                           , bcc                                                         ,  7.07,       , C            , 1436   ,          ,   26.6 ,        ,     74
TiZrNbV0.3Mo1.0                           , bcc                                                         ,  7.26,       , C            , 1455   ,          ,   25   ,        ,     74
TiZrNbV0.3Mo1.3                           , bcc                                                         ,  7.43,       , C            , 1603   ,          ,   20   ,        ,     74
TiZrNbV0.3Mo1.5                           , bcc                                                         ,  7.53,       , C            , 1576   ,          ,    8   ,        ,     74
AlCoCrFeNiTi0.5                           ,                                                             ,  6.44,       , C            , 2260   ,          ,   23.3 ,        ,     74
AlCrFeCoNi                                ,                                                             ,  6.72,       , C            , 1251   ,          ,   32.7 ,        ,     74
CrFeCoNiCuTi0.8                           ,                                                             ,  7.58,       , C            , 1042   ,          ,    2.1 ,        ,     74
CrFeCoNiCuTi0.5                           ,                                                             ,  7.82,       , C            ,  700   ,          ,   21.6 ,        ,     74
CrFeCoNiCu                                ,                                                             ,  8.33,       , C            ,  230   ,          ,   50   ,        ,     74
AlCrFeCoNiCu                              ,                                                             ,  7.07,       , C            , 1303   ,          ,   18   ,        ,     74
AlCrFeCoNiCuV                             ,                                                             ,  6.92,       , C            , 1469   ,          ,    6   ,        ,     74
Cu0.25AlCoCrFeNiTi0.5                     ,                                                             ,  6.54,       , C            , 1994   ,          ,    9.1 ,        ,     74
AlCoCrFeNiMo0.1                           ,                                                             ,  6.45,       , C            , 1804   ,          ,    7.5 ,        ,     74
AlCoCrFeNiSi0.2                           ,                                                             ,  6.92,       , C            , 1265   ,          ,   13.8 ,        ,     74
AlCoCrFeNiSi0.4                           ,                                                             ,  6.22,       , C            , 1481   ,          ,   13.4 ,        ,     74
TaNbHfZrTi                                ,                                                             ,  9.9 ,       , C            ,  929   ,          ,   50   ,        ,     74
NbMoTaW                                   ,                                                             , 13.64,       , C            , 1058   ,          ,    2.6 ,        ,     74
VNbMoTaW                                  ,                                                             , 12.36,       , C            , 1246   ,          ,    1.7 ,        ,     74
NbCrMo0.5Ta0.5TiZr                        ,                                                             ,  8.0 ,       , C            , 1595   ,          ,    5   ,        ,     74
CrNbTiZr                                  ,                                                             ,  6.64,       , C            , 1260   ,          ,    6   ,        ,     74
CrNbTiVZr                                 ,                                                             ,  6.56,       , C            , 1289   ,          ,    3   ,        ,     74
AlMo0.5NbTa0.5TiZr                        ,                                                             ,  7.3 ,       , C            , 2000   ,          ,    9   ,        ,     74
AlNb1.5Ta0.5Ti1.5Zr0.5                    ,                                                             ,  6.8 ,       , C            , 1280   ,          ,    2.5 ,        ,     74
Al0.4Hf0.6NbTaTiZr                        ,                                                             ,  9.0 ,       , C            , 1841   ,          ,    9   ,        ,     74
Al0.3NbTaTi1.4Zr1.3                       ,                                                             ,  8.1 ,       , C            , 1965   ,          ,    4   ,        ,     74
Al0.3NbTa0.8Ti1.4V0.2Zr1.3                ,                                                             ,  7.6 ,       , C            , 1965   ,          ,    4   ,        ,     74
Al0.5NbTa0.8Ti1.5V0.2Zr                   ,                                                             ,  7.3 ,       , C            , 2035   ,          ,    3.5 ,        ,     74
TiZrNbMo                                  , bcc                                                         ,      ,       , C            ,  820   ,   1280   ,   15   ,        ,     75
TiZrNbMoV0.25                             , bcc                                                         ,      ,       , C            ,  860   ,   1400   ,   18   ,        ,     75
TiZrNbMoV0.5                              , bcc                                                         ,      ,       , C            ,  950   ,   1500   ,   16   ,        ,     75
TiZrNbMoV0.75                             , bcc                                                         ,      ,       , C            , 1000   ,   1580   ,   14   ,        ,     75
TiZrNbMoV1                                , bcc                                                         ,      ,       , C            , 1050   ,   1650   ,   12   ,        ,     75
TiZrNbMoV1.5                              , bcc+Zr-rich bcc                                             ,      ,       , C            , 1150   ,   1750   ,    8   ,        ,     75
TiZrNbMoV2                                , bcc+Zr-rich bcc                                             ,      ,       , C            , 1200   ,   1800   ,    6   ,        ,     75
TiZrNbMoV3                                , bcc+Zr-rich bcc                                             ,      ,       , C            , 1320   ,   1780   ,    3   ,        ,     75
CoCrFeNiAl                                , bcc                                                         ,      ,       , C            , 1300   ,   2600   ,   20   ,        ,     75
CoCrFeNiAlNb0.1                           , bcc                                                         ,      ,       ,              ,        ,          ,        ,        ,     75
CoCrFeNiAlNb0.25                          , bcc+Laves                                                   ,      ,       ,              ,        ,          ,        ,        ,     75
CoCrFeNiAlNb0.5                           , bcc+Laves                                                   ,      ,       ,              ,        ,          ,        ,        ,     75
CoCrFeNiAlNb0.75                          , bcc+Laves                                                   ,      ,       ,              ,        ,          ,        ,        ,     75
CoCrFeNiAl                                , bcc                                                         ,      ,       , C            , 1050   ,   2550   ,   23   ,        ,     75
CoCrFeNiAl                                , bcc                                                         ,      ,       , C            , 1050   ,   2600   ,   26   ,        ,     75
CoCrFeNiAl                                , bcc                                                         ,      ,       , C            , 1050   ,   2650   ,   28   ,        ,     75
CoCrFeNiAl                                , bcc                                                         ,      ,       , C            , 1050   ,   2700   ,   30   ,        ,     75
AlCoCrFeNi                                , bcc                                                         ,      ,       , C            , 1450   ,   2960   ,   15.3 ,        ,     75
AlCoCrFeNi                                , bcc                                                         ,      ,       , C            , 1880   ,   3550   ,   14.3 ,        ,     75
Nb0.25Ta0.25Ti0.25V0.25                   , BCC                                                         ,      , 3113  , C            ,  965   ,          ,        ,        ,     76
Nb0.25Ta0.25V0.25W0.25                    , BCC                                                         ,      , 4830  , C            , 1530   ,          ,   12   ,        ,     76
Nb0.2Ta0.2Ti0.2V0.2W0.2                   , BCC                                                         ,      , 4380  , C            , 1420   ,          ,   20   ,        ,     76
CoFeNiV                                   , FCC                                                         ,      ,  238.1, C            ,  428.3 ,          ,   80.0 ,        ,     77
CoFeNiVMo0.2                              , FCC + CoMo2Ni-type                                          ,      ,  298.5, C            ,  686.9 ,          ,   80.0 ,        ,     77
CoFeNiVMo0.4                              , FCC + CoMo2Ni-type                                          ,      ,  367.8, C            , 1100.0 ,   1900.0 ,   19.7 ,        ,     77
CoFeNiVMo0.6                              , FCC + CoMo2Ni-type (eutectic)                               ,      ,  463.2, C            , 1450.0 ,   1600.0 ,    4.0 ,        ,     77
CoFeNiVMo0.8                              , FCC + CoMo2Ni-type                                          ,      ,  543.9, C            , 1700.0 ,   2163.8 ,    4.0 ,        ,     77
CoFeNiVMo                                 , FCC + CoMo2Ni-type                                          ,      ,  624.6, C            , 1900.0 ,   2050.0 ,    4.0 ,        ,     77
CoFeNi1.2VMo                              , FCC + Co2Mo3-type                                           ,      ,  572.4, C            , 1400.0 ,   1500.0 ,    4.0 ,        ,     77
CoFeNi1.4VMo                              , FCC + Co2Mo3-type (eutectic)                                ,      ,  510.3, C            , 1350.0 ,   1450.0 ,    4.0 ,        ,     77
CoFeNi1.6VMo                              , FCC + Co2Mo3-type                                           ,      ,  451.8, C            , 1300.0 ,   1400.0 ,    4.0 ,        ,     77
CoFeNi1.8VMo                              , FCC + Co2Mo3-type                                           ,      ,  416.7, C            , 1250.0 ,   1350.0 ,    4.0 ,        ,     77
CoFeNi2VMo                                , FCC + Co2Mo3-type                                           ,      ,  382.3, C            ,  679.1 ,   1152.6 ,   24.7 ,        ,     77
Fe-3.62C-2.51Si-0.84Mn                    , Martensite + Spheroidal graphite + Retained austenite (<5%) ,      ,       ,              ,        ,          ,        ,        ,     78
Fe-3.62C-2.51Si-0.85Mn-0.40Cr             , Martensite + Spheroidal graphite + Eutectic carbides (5-10%),      ,       ,              ,        ,          ,        ,        ,     78
Fe-3.62C-2.51Si-0.86Mn-0.50Cu             , Martensite + Spheroidal graphite + Retained austenite (<5%) ,      ,       ,              ,        ,          ,        ,        ,     78
Fe-3.62C-2.51Si-0.83Mn-0.50Ni             , Martensite + Spheroidal graphite + Retained austenite (<5%) ,      ,       ,              ,        ,          ,        ,        ,     78
Fe-3.62C-2.51Si-0.85Mn-0.40Cr-0.50Ni      , Martensite + Spheroidal graphite + Retained austenite (<5%) ,      ,       ,              ,        ,          ,        ,        ,     78
Fe-3.62C-2.51Si-0.87Mn-0.40Cr-0.50Cu      , Martensite + Spheroidal graphite + Retained austenite (<5%) ,      ,       ,              ,        ,          ,        ,        ,     78
Fe-3.62C-3.05Si-0.84Mn                    , Martensite + Spheroidal graphite + Retained austenite (<5%) ,      ,       ,              ,        ,          ,        ,        ,     78
Fe-3.62C-3.52Si-0.85Mn                    , Martensite + Spheroidal graphite + Retained austenite (<5%) ,      ,       ,              ,        ,          ,        ,        ,     78
Cu0.333Mn0.333Ni0.333                     , A1                                                          ,      ,       , C            ,  210   ,          ,   40   ,        ,     79
Cu0.317Mn0.317Ni0.317Al0.050              , A1 + B1                                                     ,      ,  174  , C            ,  330   ,          ,   45   ,        ,     79
Cu0.300Mn0.300Ni0.300Al0.100              , A1 + B1                                                     ,      ,  220  , C            ,  515   ,          ,   40   ,        ,     79
Cu0.267Mn0.267Ni0.267Al0.200              , B1 + H-L21                                                  ,      ,  355  ,              ,        ,          ,        ,        ,     79
Cu0.250Mn0.250Ni0.250Al0.250              , H-L21                                                       ,      ,  373  ,              ,        ,          ,        ,        ,     79
Cu0.233Mn0.233Ni0.233Al0.300              , H-L21 + B2                                                  ,      ,  359  ,              ,        ,          ,        ,        ,     79
Cu0.200Mn0.200Ni0.200Al0.400              , H-L21 + B2                                                  ,      ,  398  ,              ,        ,          ,        ,        ,     79
Cu0.317Mn0.317Ni0.317Sn0.050              , A1 + H-L21                                                  ,      ,  178  , C            ,  380   ,          ,   63   ,        ,     79
Cu0.300Mn0.300Ni0.300Sn0.100              , A1 + H-L21                                                  ,      ,  255  , C            ,  620   ,          ,   20   ,        ,     79
Cu0.267Mn0.267Ni0.267Sn0.200              , A1 + H-L21                                                  ,      ,  533  ,              ,        ,          ,        ,        ,     79
Cu0.250Mn0.250Ni0.250Sn0.250              , H-L21                                                       ,      ,  507  ,              ,        ,          ,        ,        ,     79
Cu0.267Mn0.267Ni0.267Zn0.200              , A1                                                          ,      ,  113  , C            ,  140   ,          ,   65   ,        ,     79
Cu0.250Mn0.250Ni0.250Zn0.250              , A1                                                          ,      ,  128  , C            ,  215   ,          ,   60   ,        ,     79
Cu0.217Mn0.217Ni0.217Zn0.350              , A1 + B2                                                     ,      ,  242  ,              ,        ,          ,        ,        ,     79
Cu0.200Mn0.200Ni0.200Zn0.400              , A1 + B2                                                     ,      ,  253  ,              ,        ,          ,        ,        ,     79
Cu0.300Mn0.300Ni0.300Al0.050Sn0.050       , A1 + H-L21                                                  ,      ,  303  ,              ,        ,          ,        ,        ,     79
Cu0.250Mn0.250Ni0.250Al0.050Zn0.200       , A1 + H-L21                                                  ,      ,  271  ,              ,        ,          ,        ,        ,     79
Cu0.200Mn0.200Ni0.200Al0.050Zn0.350       , B1 + B2                                                     ,      ,  281  ,              ,        ,          ,        ,        ,     79
Cu0.267Mn0.267Ni0.267Al0.100Zn0.100       , A1 + H-L21                                                  ,      ,  321  ,              ,        ,          ,        ,        ,     79
Cu0.233Mn0.233Ni0.233Al0.100Zn0.200       , A1 + H-L21                                                  ,      ,  306  ,              ,        ,          ,        ,        ,     79
Cu0.250Mn0.250Ni0.250Sn0.050Zn0.200       , A1 + H-L21                                                  ,      ,  286  ,              ,        ,          ,        ,        ,     79
Cu0.200Mn0.200Ni0.200Sn0.050Zn0.350       , A1 + H-L21 + Mn-rich                                        ,      ,  376  ,              ,        ,          ,        ,        ,     79
Cu0.233Mn0.233Ni0.233Sn0.100Zn0.200       , A1 + H-L21 + Mn-rich                                        ,      ,  372  ,              ,        ,          ,        ,        ,     79
