Material                                                     , Process                                    , Sub-process                                                                                                     , Power  , Velocity, powder flowrate, layer thickness, beam D, Hatch spacing, depth of meltpool, width of melt pool, length of melt pool, d/w   , l/w   , 2d_over_w, D_t_ratio, HAZ_depth_um, H_W_ratio, IED_J_per_cm2, L_D_ratio, L_W_ratio, P_over_sqrt_V_W_per_sqrt_mm_s, Rosenthal_depth_um, SED_J_per_mm2, Vs_over_Sb_um, W_h_ratio, area_distribution_R2, aspect_ratio_width_to_depth, balling_percentage, build_layer_height_um, build_to_powder_ratio_percent, cavity_depth_no_powder_um, cavity_depth_with_powder_um, conduction_to_keyhole_transition_normalized_enthalpy, depression_zone_depth_um, depression_zone_width_to_depth, depression_zone_width_um, depth_difference_no_powder_um, depth_difference_with_powder_um, depth_per_energy_mm_per_J, depth_std_um, depth_to_half_width_ratio_gt, dimensionless_depth_d_star, dimensionless_enthalpy_H_star, dimensionless_width_w_star, energy_density_J_per_mm3, experimental_mean_width_um, front_wall_tilt_angle_deg, keyhole_instability_onset_normalized_enthalpy, keyholing_porosity_percentage, length_to_depth, location                                       , martensite_block_avg_diameter_um, melt_pool_depth_no_powder_um, melting_mode               , melting_regime, meltpool_boundary_depth_optical_um, meltpool_cross_section_area_um2, meltpool_depth_no_powder_um, meltpool_depth_um, meltpool_depth_with_powder_um, meltpool_width_um, model                 , morphology        , normalized_enthalpy, note                                                                                                                                                                                                                                                                                                                                                                                                                                 , notes                                                                                                                                     , number_of_parameter_combinations, number_of_tracks, numerical_experimental_difference_percent, overlap_ratio_percent, peak_temperature_K, pore_diameter_mean_um, pore_diameter_range_um, pore_diameter_std_um, powder_height_um, power_range_W, pressure_condition         , ratio_Dper_to_Wper, remelting_depth_um_experiment, remelting_depth_um_simulation, solidification_rate_m_per_s, track_length_mm, vapor_depression_Lh_um, vapor_depression_aspect_ratio, vapor_depression_aspect_ratio_D_over_Lh, vaporization_ratio_eta, velocity_range_mm_per_s, width_per_energy_mm_per_J, width_std_um, width_to_depth, width_to_depth_ratio, width_uncertainty_um, E (J/mm) , E (J/mm3), density , Cp    , k     , melting T, minimum absorptivity, Y (wt%), Zn (wt%), Mg (wt%), Si (wt%), Al (wt%), Sn (wt%), Zr (wt%), W (wt%), Ti (wt%) , V (wt%), Co (wt%), Cu (wt%), Ta (wt%), Nb (wt%), Ni (wt.%), Cr (wt.%), Fe (wt.%), Mn (wt%), Mo (wt.%), paper ID             , paper                                                                                                                                                                                  , dois
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  400   ,  200    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    , No penetrating melt pool at 400 W; almost no bonding at higher speeds                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   2.0    ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  400   ,  300    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.33   ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  400   ,  400    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.0    ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  400   ,  500    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.8    ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  500   ,  100    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    , Keyhole regime observed at 500 W with powder; deep penetration melt pool                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   5.0    ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  500   ,  200    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   2.5    ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  500   ,  300    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.67   ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  500   ,  400    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.25   ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  500   ,  500    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.0    ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  500   ,  600    ,                ,           0.1  , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.83   ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  540   ,  100    ,                ,                , 0.045 ,              ,            400   ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    , Deep penetration keyholing; keyhole regime confirmed; depth approximately 400 um                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   5.4    ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  540   ,  200    ,                ,                , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    , Melt pool depth approximately independent of scan speed at 540 W                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   2.7    ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  540   ,  300    ,                ,                , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.8    ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
"Pure Cu (HCP Copper, 99.9 wt% purity)"                      , Laser Powder Bed Fusion (LPBF)             , Single track experiments with in-situ micro-calorimetry absorptivity measurements                               ,  540   ,  400    ,                ,                , 0.045 ,              ,                  ,                   ,                    ,       ,       ,          ,          ,             ,          ,              ,          ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                         ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   1.35   ,          , 8960    ,  384.6, 399   ,    1358  ,                 0.05,        ,         ,         ,         ,         ,         ,         ,        ,          ,        ,         ,   99.9  ,         ,         ,          ,          ,          ,         ,          , file36               , Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry                                                                                  , S0924-0136(21)00090-X
