Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,L_over_D,H_over_W,vaporization_ratio_eta,build_to_powder_ratio_percent,normalized_enthalpy_deltaH_over_hs,conduction_to_keyhole_transition_normalized_enthalpy_deltaH_over_hs,meltpool_aspect_ratio_width_to_depth,D_over_t,L_over_W,W_over_h,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,250,250,,,0.2,,,,,,,,,,,,,,,,,1.0,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,150,100,,,0.2,,,,,,,,,,,,,,,,,1.5,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,150,200,,,0.2,,,,,,,,,,,,,,,,,0.75,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,150,300,,,0.2,,,,,,,,,,,,,,,,,0.5,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,150,400,,,0.2,,,,,,,,,,,,,,,,,0.375,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,150,20,,0.15,0.4,,,,,,,,,,,,,,,,,7.5,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,150,20,,0.15,0.4,,,,,,,,,,,,,,,,,7.5,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,150,20,,0.15,0.4,,,,,,,,,,,,,,,,,7.5,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,150,20,,0.15,0.4,,,,,,,,,,,,,,,,,7.5,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,125,20,,0.15,0.4,,,,,,,,,,,,,,,,,6.25,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,175,20,,0.15,0.4,,,,,,,,,,,,,,,,,8.75,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
Ti-45Al (at.%) titanium aluminide (binary approximation used for Ti-45Al-2Cr-5Nb (at.%)),Laser powder bed fusion (LPBF) / selective laser melting (single-track),Single-track LPBF with finite-element thermal modeling + phase-field solidification microstructure modeling; SEM/BSE validation,200,20,,0.15,0.4,,,,,,,,,,,,,,,,,10.0,,3720,,,1858,0.24,,,,,,,,,,,,,,,,,,,,26,Laser powder bed fusion of titanium aluminides: An investigation on site-specific microstructure evolution mechanism,
316L stainless steel,LPBF,Laser powder bed fusion (Concept Laser Mlab cusing); cylindrical vs conical geometries,70,600,,0.025,0.045,0.1,34.13,,,,,,,,,,,,,,,0.1166666667,46.67,7454,1911,27.78,1678,0.3,,,,0–1,,,,,,,,,,,10–14,16–18,Balance,0–2,2–2.5,file27,The effects of geometry and laser power on the porosity and melt pool formation in additively manufactured 316L stainless steel,
316L stainless steel,LPBF,Laser powder bed fusion (Concept Laser Mlab cusing); cylindrical vs conical geometries,70,600,,0.025,0.045,0.1,31.46,,,,,,,,,,,,,,,0.1166666667,46.67,7454,1911,27.78,1678,0.3,,,,0–1,,,,,,,,,,,10–14,16–18,Balance,0–2,2–2.5,file27,The effects of geometry and laser power on the porosity and melt pool formation in additively manufactured 316L stainless steel,
316L stainless steel,LPBF,Laser powder bed fusion (Concept Laser Mlab cusing); cylindrical vs conical geometries,65,600,,0.025,0.045,0.1,31.11,,,,,,,,,,,,,,,0.1083333333,43.33,7454,1911,27.78,1678,0.3,,,,0–1,,,,,,,,,,,10–14,16–18,Balance,0–2,2–2.5,file27,The effects of geometry and laser power on the porosity and melt pool formation in additively manufactured 316L stainless steel,
316L stainless steel,LPBF,Laser powder bed fusion (Concept Laser Mlab cusing); cylindrical vs conical geometries,65,600,,0.025,0.045,0.1,28.75,,,,,,,,,,,,,,,0.1083333333,43.33,7454,1911,27.78,1678,0.3,,,,0–1,,,,,,,,,,,10–14,16–18,Balance,0–2,2–2.5,file27,The effects of geometry and laser power on the porosity and melt pool formation in additively manufactured 316L stainless steel,
316L stainless steel,LPBF,Laser powder bed fusion (Concept Laser Mlab cusing); cylindrical vs conical geometries,60,600,,0.025,0.045,0.1,26.94,,,,,,,,,,,,,,,0.1,40,7454,1911,27.78,1678,0.3,,,,0–1,,,,,,,,,,,10–14,16–18,Balance,0–2,2–2.5,file27,The effects of geometry and laser power on the porosity and melt pool formation in additively manufactured 316L stainless steel,
316L stainless steel,LPBF,Laser powder bed fusion (Concept Laser Mlab cusing); cylindrical vs conical geometries,60,600,,0.025,0.045,0.1,26.31,,,,,,,,,,,,,,,0.1,40,7454,1911,27.78,1678,0.3,,,,0–1,,,,,,,,,,,10–14,16–18,Balance,0–2,2–2.5,file27,The effects of geometry and laser power on the porosity and melt pool formation in additively manufactured 316L stainless steel,
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,170,600,,0.02,0.1,,,,,,,,,,,,,,,,,0.2833333333333333,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,170,700,,0.02,0.1,,,,,,,,,,,,,,,,,0.24285714285714285,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,170,800,,0.02,0.1,,,,,,,,,,,,,,,,,0.2125,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,170,900,,0.02,0.1,,,,,,,,,,,,,,,,,0.18888888888888888,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,170,1000,,0.02,0.1,,,,,,,,,,,,,,,,,0.17,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,170,1100,,0.02,0.1,,,,,,,,,,,,,,,,,0.15454545454545454,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,170,1200,,0.02,0.1,,,,,,,,,,,,,,,,,0.14166666666666666,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,170,1300,,0.02,0.1,,,,,,,,,,,,,,,,,0.13076923076923078,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,195,600,,0.02,0.1,,,,,,,,,,,,,,,,,0.325,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,195,700,,0.02,0.1,,,,,,,,,,,,,,,,,0.2785714285714286,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,195,800,,0.02,0.1,,,,,,,,,,,,,,,,,0.24375,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,195,900,,0.02,0.1,,,,,,,,,,,,,,,,,0.21666666666666667,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,195,1000,,0.02,0.1,,,,,,,,,,,,,,,,,0.195,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,195,1100,,0.02,0.1,,,,,,,,,,,,,,,,,0.17727272727272728,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,195,1200,,0.02,0.1,,,,,,,,,,,,,,,,,0.1625,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,195,1300,,0.02,0.1,,,,,,,,,,,,,,,,,0.15,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,220,600,,0.02,0.1,,,,,,,,,,,,,,,,,0.36666666666666664,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,220,700,,0.02,0.1,,,,,,,,,,,,,,,,,0.3142857142857143,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,220,800,,0.02,0.1,,,,,,,,,,,,,,,,,0.275,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,220,900,,0.02,0.1,,,,,,,,,,,,,,,,,0.24444444444444444,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,220,1000,,0.02,0.1,,,,,,,,,,,,,,,,,0.22,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,220,1100,,0.02,0.1,,,,,,,,,,,,,,,,,0.2,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,220,1200,,0.02,0.1,,,,,,,,,,,,,,,,,0.18333333333333332,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
Stainless Steel 17-4PH (powder); mild carbon steel substrate,Laser powder-bed fusion (LPBF),Single-track / single-line scan experiments with accompanying 3D FEM heat-transfer modeling,220,1300,,0.02,0.1,,,,,,,,,,,,,,,,,0.16923076923076924,,,,10.5,,0.48,,,,,,,,,,,,,,,,,,,,file28,3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,10.1016/j.optlastec.2018.08.012
AlSi10Mg aluminum alloy,Selective Laser Melting (SLM),single-track melting with interlayer remelting densification (powder-scale CFD/VOF simulation + experiments),100,150,,0.06,0.07,0.05,81,62,,1.306452,,,,,,,,,,,,0.666667,222.222222,2630…2310 (temperature-dependent range reported),754…921 (temperature-dependent range reported),92…115 (temperature-dependent range reported),869,0.09,,,,,,,,,,,,,,,,,,,,3,Influence of processing parameters on laser penetration depth and melting/re-melting densification during selective laser melting of aluminum alloy,
AlSi10Mg aluminum alloy,Selective Laser Melting (SLM),single-track melting with interlayer remelting densification (powder-scale CFD/VOF simulation + experiments),100,200,,0.06,0.07,0.05,,,,,,,,,,,,,,,,0.5,166.666667,2630…2310 (temperature-dependent range reported),754…921 (temperature-dependent range reported),92…115 (temperature-dependent range reported),869,0.09,,,,,,,,,,,,,,,,,,,,3,Influence of processing parameters on laser penetration depth and melting/re-melting densification during selective laser melting of aluminum alloy,
AlSi10Mg aluminum alloy,Selective Laser Melting (SLM),single-track melting with interlayer remelting densification (powder-scale CFD/VOF simulation + experiments),100,250,,0.06,0.07,0.05,61.8,,,,,,,,,,,,,,,0.4,133.333333,2630…2310 (temperature-dependent range reported),754…921 (temperature-dependent range reported),92…115 (temperature-dependent range reported),869,0.09,,,,,,,,,,,,,,,,,,,,3,Influence of processing parameters on laser penetration depth and melting/re-melting densification during selective laser melting of aluminum alloy,
AlSi10Mg aluminum alloy,Selective Laser Melting (SLM),single-track melting with interlayer remelting densification (powder-scale CFD/VOF simulation + experiments),100,300,,0.06,0.07,0.05,,34,,,,,,,,,,,,,,0.333333,111.111111,2630…2310 (temperature-dependent range reported),754…921 (temperature-dependent range reported),92…115 (temperature-dependent range reported),869,0.09,,,,,,,,,,,,,,,,,,,,3,Influence of processing parameters on laser penetration depth and melting/re-melting densification during selective laser melting of aluminum alloy,
AlSi10Mg aluminum alloy,Selective Laser Melting (SLM),single-track melting with interlayer remelting densification (powder-scale CFD/VOF simulation + experiments),100,350,,0.06,0.07,0.05,,,,,,,,,,,,,,,,0.285714,95.238095,2630…2310 (temperature-dependent range reported),754…921 (temperature-dependent range reported),92…115 (temperature-dependent range reported),869,0.09,,,,,,,,,,,,,,,,,,,,3,Influence of processing parameters on laser penetration depth and melting/re-melting densification during selective laser melting of aluminum alloy,
AlSi10Mg aluminum alloy,Selective Laser Melting (SLM),single-track melting with interlayer remelting densification (powder-scale CFD/VOF simulation + experiments),100,400,,0.06,0.07,0.05,37.3,27,,1.381481,,,,,,,,,,,,0.25,83.333333,2630…2310 (temperature-dependent range reported),754…921 (temperature-dependent range reported),92…115 (temperature-dependent range reported),869,0.09,,,,,,,,,,,,,,,,,,,,3,Influence of processing parameters on laser penetration depth and melting/re-melting densification during selective laser melting of aluminum alloy,
Al–2.5Fe (mass%) binary alloy (near-eutectic),laser powder bed fusion (LPBF),Yb-fiber laser LPBF (3D Systems ProX 200); argon atmosphere (O2 < 500 ppm); hexagonal grid scanning with 90° rotation between layers,204,600,,0.03,0.1,0.1,,,,,,,,,,,,,,,,0.34,113.33,,,,,,,,,0.03,,,,,,,,,,,,,2.55,,,file30,Laser powder bed fusion of a near-eutectic Al–Fe binary alloy: Processing and microstructure,
Al–2.5Fe (mass%) binary alloy (near-eutectic),laser powder bed fusion (LPBF),Yb-fiber laser LPBF (3D Systems ProX 200); argon atmosphere (O2 < 500 ppm); hexagonal grid scanning with 90° rotation between layers,,,,0.03,0.1,0.1,75,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,2.55,,,file30,Laser powder bed fusion of a near-eutectic Al–Fe binary alloy: Processing and microstructure,
Hastelloy X (Ni-based superalloy),Laser powder-bed fusion (LPBF),Single-track (single scan track) fabrication,150,1000,,0.02,0.1,,24,77,,0.312,,,,,,,,,,,,0.15,,,,,,0.1,,,,< 1,< 0.5,,,0.6 ± 0.4,< 0.15,,1.5 ± 1,< 0.5,,,Balance,21.75 ± 1.25,18.5 ± 1.5,< 1,9 ± 1,file31,Heat source model calibration for thermal analysis of laser powder-bed fusion,
Hastelloy X (Ni-based superalloy),Laser powder-bed fusion (LPBF),Single-track (single scan track) fabrication,200,1000,,0.02,0.1,,67,109,,0.615,,,,,,,,,,,,0.2,,,,,,0.1,,,,< 1,< 0.5,,,0.6 ± 0.4,< 0.15,,1.5 ± 1,< 0.5,,,Balance,21.75 ± 1.25,18.5 ± 1.5,< 1,9 ± 1,file31,Heat source model calibration for thermal analysis of laser powder-bed fusion,
Hastelloy X (Ni-based superalloy),Laser powder-bed fusion (LPBF),Single-track (single scan track) fabrication,250,1000,,0.02,0.1,,82,135,,0.607,,,,,,,,,,,,0.25,,,,,,0.1,,,,< 1,< 0.5,,,0.6 ± 0.4,< 0.15,,1.5 ± 1,< 0.5,,,Balance,21.75 ± 1.25,18.5 ± 1.5,< 1,9 ± 1,file31,Heat source model calibration for thermal analysis of laser powder-bed fusion,
Hastelloy X (Ni-based superalloy),Laser powder-bed fusion (LPBF),Single-track (single scan track) fabrication,200,800,,0.02,0.1,,72,127,,0.567,,,,,,,,,,,,0.25,,,,,,0.1,,,,< 1,< 0.5,,,0.6 ± 0.4,< 0.15,,1.5 ± 1,< 0.5,,,Balance,21.75 ± 1.25,18.5 ± 1.5,< 1,9 ± 1,file31,Heat source model calibration for thermal analysis of laser powder-bed fusion,
Hastelloy X (Ni-based superalloy),Laser powder-bed fusion (LPBF),Single-track (single scan track) fabrication,200,1300,,0.02,0.1,,34,90,,0.378,,,,,,,,,,,,0.154,,,,,,0.1,,,,< 1,< 0.5,,,0.6 ± 0.4,< 0.15,,1.5 ± 1,< 0.5,,,Balance,21.75 ± 1.25,18.5 ± 1.5,< 1,9 ± 1,file31,Heat source model calibration for thermal analysis of laser powder-bed fusion,
Inconel 718,laser powder bed fusion,"selective laser melting (SLM), single-line scan (single track)",100,200,,0.02,,,148.1,154.2,,0.960441,,,,,,,,,,,,0.5,,,,,1443.0,0.48,,,,,,,,,,,,,,,,,,,,file33,Finite element simulation of laser additive melting and solidification of Inconel 718 with experimentally tested thermal properties☆,
Inconel 718,laser powder bed fusion,"selective laser melting (SLM), single-line scan (single track)",150,200,,0.02,,,215.7,204.3,,1.0558,,,,,,,,,,,,0.75,,,,,1443.0,0.48,,,,,,,,,,,,,,,,,,,,file33,Finite element simulation of laser additive melting and solidification of Inconel 718 with experimentally tested thermal properties☆,
Inconel 718,laser powder bed fusion,"selective laser melting (SLM), single-line scan (single track)",200,200,,0.02,,,280.5,223.3,,1.256158,,,,,,,,,,,,1.0,,,,,1443.0,0.48,,,,,,,,,,,,,,,,,,,,file33,Finite element simulation of laser additive melting and solidification of Inconel 718 with experimentally tested thermal properties☆,
Inconel 718,laser powder bed fusion,"selective laser melting (SLM), single-line scan (single track)",300,200,,0.02,,,299.1,295.1,,1.013555,,,,,,,,,,,,1.5,,,,,1443.0,0.48,,,,,,,,,,,,,,,,,,,,file33,Finite element simulation of laser additive melting and solidification of Inconel 718 with experimentally tested thermal properties☆,
Inconel 718,laser powder bed fusion,"selective laser melting (SLM), single-line scan (single track)",150,700,,0.02,,,48.2,118.0,,0.408475,,,,,,,,,,,,0.214286,,,,,1443.0,0.48,,,,,,,,,,,,,,,,,,,,file33,Finite element simulation of laser additive melting and solidification of Inconel 718 with experimentally tested thermal properties☆,
Inconel 718,laser powder bed fusion,"selective laser melting (SLM), single-line scan (single track)",200,700,,0.02,,,64.4,144.5,,0.445675,,,,,,,,,,,,0.285714,,,,,1443.0,0.48,,,,,,,,,,,,,,,,,,,,file33,Finite element simulation of laser additive melting and solidification of Inconel 718 with experimentally tested thermal properties☆,
Inconel 718,laser powder bed fusion,"selective laser melting (SLM), single-line scan (single track)",300,700,,0.02,,,96.5,185.0,,0.521622,,,,,,,,,,,,0.428571,,,,,1443.0,0.48,,,,,,,,,,,,,,,,,,,,file33,Finite element simulation of laser additive melting and solidification of Inconel 718 with experimentally tested thermal properties☆,
Inconel 718,laser powder bed fusion,"selective laser melting (SLM), single-line scan (single track)",150,1200,,0.02,,,34.0,97.0,,0.350515,,,,,,,,,,,,0.125,,,,,1443.0,0.48,,,,,,,,,,,,,,,,,,,,file33,Finite element simulation of laser additive melting and solidification of Inconel 718 with experimentally tested thermal properties☆,
