Composition (atomic)                                                                                      , Type of phases                                                                      , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, "Type of tests, C and T stands for compression and tension"    , σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
"{'Nb': 0.2, 'Ti': 0.2, 'V': 0.2, 'Ta': 0.2, 'Al': 0.2}"                                                  , single-phase BCC solid solution                                                     ,                                     ,                              , C                                                              ,                         991   ,                                    ,                                    ,                           
Al26.6Nb23.8Ti25.1V24.5                                                                                   , single-phase bcc                                                                    ,                                 5.59,                        448   , C                                                              ,                        1020   ,                             1318   ,                                5   ,                           
Al26.6Nb23.8Ti25.1V24.5                                                                                   , single-phase bcc                                                                    ,                                 5.59,                        448   , C                                                              ,                         810   ,                             1050   ,                               12   ,                           
Al26.6Nb23.8Ti25.1V24.5                                                                                   , single-phase bcc                                                                    ,                                 5.59,                        448   , C                                                              ,                         685   ,                                    ,                                    ,                           
Al26.6Nb23.8Ti25.1V24.5                                                                                   , single-phase bcc                                                                    ,                                 5.59,                        448   , C                                                              ,                         158   ,                                    ,                                    ,                           
Ti20Zr20Hf20Nb20V20                                                                                       , BCC + u                                                                             ,                                     ,                        387.5 , C                                                              ,                        1170   ,                             1463   ,                               29.6 ,                        128
Ti20Zr20Hf20Nb20V20                                                                                       , BCC                                                                                 ,                                     ,                        392.6 , C                                                              ,                        1120   ,                             1376   ,                               30.0 ,                           
Ti20Zr20Hf20Nb20V20                                                                                       , BCC                                                                                 ,                                     ,                        389.5 , C                                                              ,                        1253   ,                             1393   ,                               38.0 ,                           
Ti20Zr20Hf20Nb20V20                                                                                       , BCC                                                                                 ,                                     ,                        393.6 , C                                                              ,                        1140   ,                             1463   ,                               29.7 ,                           
Ti20Zr20Hf20Nb20V20                                                                                       , BCC + V2M                                                                           ,                                     ,                        388.5 , C                                                              ,                        1157   ,                             1468   ,                               39.6 ,                           
Ti20Zr20Hf20Nb20Cr20                                                                                      , BCC + L1 + L2                                                                       ,                                     ,                        465.0 , C                                                              ,                        1375   ,                             2130   ,                                2.8 ,                        112
Ti20Zr20Hf20Nb20Cr20                                                                                      , BCC + L1 + L2                                                                       ,                                     ,                        467.0 , C                                                              ,                        1420   ,                             1885   ,                                4.2 ,                           
Ti20Zr20Hf20Nb20Cr20                                                                                      , BCC + L1 + L2                                                                       ,                                     ,                        479.3 , C                                                              ,                        1457   ,                             1908   ,                                2.2 ,                           
Ti20Zr20Hf20Nb20Cr20                                                                                      , BCC + L1 + L2                                                                       ,                                     ,                        489.5 , C                                                              ,                        1322   ,                             1726   ,                                1.4 ,                           
Ti20Zr20Hf20Nb20Cr20                                                                                      , BCC + L1 + L2                                                                       ,                                     ,                        458.9 , C                                                              ,                        1328   ,                             1884   ,                                4.5 ,                           
Ti20Zr20Hf20Nb20Ta20                                                                                      , BCC                                                                                 ,                                     ,                        390.5 , C                                                              ,                         929   ,                                    ,                               50.0 ,                           
W20Nb20Mo20Ta20                                                                                           , BCC                                                                                 ,                                     ,                        454.8 , C                                                              ,                        1058   ,                             1211   ,                                1.5 ,                           
W20Nb20Mo20Ta20V20                                                                                        , BCC                                                                                 ,                                     ,                        535.4 , C                                                              ,                        1246   ,                             1270   ,                                1.7 ,                           
Nb0.20Cr0.20Mo0.10Ta0.10Ti0.20Zr0.20                                                                      , BCC1; BCC2; FCC (Laves C15)                                                         ,                                 8.23,                        539.2 , C                                                              ,                        1595   ,                             2046   ,                                5.0 ,                           
Nb0.20Cr0.20Mo0.10Ta0.10Ti0.20Zr0.20                                                                      , BCC1; BCC2; FCC (Laves C15)                                                         ,                                 8.23,                        539.2 , C                                                              ,                         983   ,                             1100   ,                                5.5 ,                           
Nb0.20Cr0.20Mo0.10Ta0.10Ti0.20Zr0.20                                                                      , BCC1; BCC2; FCC (Laves C15)                                                         ,                                 8.23,                        539.2 , C                                                              ,                         546   ,                              630   ,                                    ,                           
Nb0.20Cr0.20Mo0.10Ta0.10Ti0.20Zr0.20                                                                      , BCC1; BCC2; FCC (Laves C15)                                                         ,                                 8.23,                        539.2 , C                                                              ,                         170   ,                              190   ,                                    ,                           
Nb0.283Ti0.245V0.23Zr0.242                                                                                , disordered BCC (major); minor BCC second phase precipitates                         ,                                 6.52,                        334.97, C                                                              ,                        1105   ,                                    ,                               50   ,                         80
Nb0.283Ti0.245V0.23Zr0.242                                                                                , disordered BCC (major); minor BCC second phase precipitates                         ,                                 6.52,                        334.97, C                                                              ,                         834   ,                                    ,                               50   ,                           
Nb0.283Ti0.245V0.23Zr0.242                                                                                , single BCC during high-temperature deformation                                      ,                                 6.52,                        334.97, C                                                              ,                         187   ,                                    ,                               50   ,                           
Nb0.283Ti0.245V0.23Zr0.242                                                                                , single BCC during high-temperature deformation                                      ,                                 6.52,                        309.47, C                                                              ,                          58   ,                                    ,                               50   ,                           
Nb0.226Ti0.194V0.372Zr0.208                                                                               , three disordered BCC phases                                                         ,                                 6.34,                        304.58, C                                                              ,                         918   ,                                    ,                               50   ,                         98
Nb0.226Ti0.194V0.372Zr0.208                                                                               , three disordered BCC phases                                                         ,                                 6.34,                        304.58, C                                                              ,                         571   ,                                    ,                               50   ,                           
Nb0.226Ti0.194V0.372Zr0.208                                                                               , single BCC during high-temperature deformation                                      ,                                 6.34,                        304.58, C                                                              ,                         240   ,                                    ,                               50   ,                           
Nb0.226Ti0.194V0.372Zr0.208                                                                               , single BCC during high-temperature deformation                                      ,                                 6.34,                        301.63, C                                                              ,                          72   ,                                    ,                               50   ,                           
Cr0.246Nb0.267Ti0.239Zr0.248                                                                              , disordered BCC; ordered FCC Laves                                                   ,                                 6.67,                        417.97, C                                                              ,                        1260   ,                             1575   ,                                6   ,                        120
Cr0.246Nb0.267Ti0.239Zr0.248                                                                              , disordered BCC; ordered FCC Laves                                                   ,                                 6.67,                        417.97, C                                                              ,                        1035   ,                                    ,                               50   ,                           
Cr0.246Nb0.267Ti0.239Zr0.248                                                                              , disordered BCC; ordered FCC Laves                                                   ,                                 6.67,                        417.97, C                                                              ,                         300   ,                                    ,                               50   ,                           
Cr0.246Nb0.267Ti0.239Zr0.248                                                                              , disordered BCC; ordered FCC Laves                                                   ,                                 6.67,                        396.45, C                                                              ,                         115   ,                                    ,                               50   ,                           
Cr0.202Nb0.2Ti0.199V0.196Zr0.203                                                                          , disordered BCC; ordered FCC Laves                                                   ,                                 6.57,                        481.29, C                                                              ,                        1298   ,                             1725   ,                                3   ,                        100
Cr0.202Nb0.2Ti0.199V0.196Zr0.203                                                                          , disordered BCC; ordered FCC Laves                                                   ,                                 6.57,                        481.29, C                                                              ,                        1230   ,                                    ,                               10   ,                           
Cr0.202Nb0.2Ti0.199V0.196Zr0.203                                                                          , disordered BCC; ordered FCC Laves                                                   ,                                 6.57,                        481.29, C                                                              ,                         615   ,                                    ,                               50   ,                           
Cr0.202Nb0.2Ti0.199V0.196Zr0.203                                                                          , disordered BCC; ordered FCC Laves                                                   ,                                 6.57,                        448.86, C                                                              ,                         259   ,                                    ,                               50   ,                           
CoCrFeNi                                                                                                  , FCC                                                                                 ,                                     ,                              , T                                                              ,                         147   ,                              413   ,                               48.0 ,                           
CoCrFeNiNb0.103                                                                                           , FCC + Laves (HCP)                                                                   ,                                     ,                              , T                                                              ,                         317   ,                              622   ,                               19.2 ,                           
CoCrFeNiNb0.155                                                                                           , FCC + Laves (HCP)                                                                   ,                                     ,                              , T                                                              ,                         321   ,                              744   ,                               23.3 ,                           
CoCrFeNiNb0.206                                                                                           , FCC + Laves (HCP)                                                                   ,                                     ,                              , T                                                              ,                         402   ,                              807   ,                                8.6 ,                           
CoCrFeNiNb0.309                                                                                           , FCC + Laves (HCP)                                                                   ,                                     ,                              , T                                                              ,                         478   ,                              879   ,                                3.5 ,                           
CoCrFeNiNb0.412                                                                                           , FCC + Laves (HCP)                                                                   ,                                     ,                              , T                                                              ,                         637   ,                             1004   ,                                1.3 ,                           
Hf0.2Nb0.2Ti0.2V0.2Zr0.2                                                                                  , BCC; unknown intermetallic (u)                                                      ,                                     ,                        387.48, C                                                              ,                        1170   ,                             1463   ,                               29.6 ,                        128
Hf0.2Nb0.2Ti0.2V0.2Zr0.2                                                                                  , BCC                                                                                 ,                                     ,                        392.58, C                                                              ,                        1120   ,                             1376   ,                               30.0 ,                           
Hf0.2Nb0.2Ti0.2V0.2Zr0.2                                                                                  , BCC                                                                                 ,                                     ,                        389.52, C                                                              ,                        1253   ,                             1393   ,                               38.0 ,                           
Hf0.2Nb0.2Ti0.2V0.2Zr0.2                                                                                  , BCC                                                                                 ,                                     ,                        393.6 , C                                                              ,                        1140   ,                             1463   ,                               29.7 ,                           
Hf0.2Nb0.2Ti0.2V0.2Zr0.2                                                                                  , BCC; V2M Laves                                                                      ,                                     ,                        388.5 , C                                                              ,                        1157   ,                             1468   ,                               39.6 ,                           
Cr0.2Hf0.2Nb0.2Ti0.2Zr0.2                                                                                 , BCC; Laves (L1); Laves (L2)                                                         ,                                     ,                        463.95, C                                                              ,                        1375   ,                             2130   ,                                2.8 ,                        112
Cr0.2Hf0.2Nb0.2Ti0.2Zr0.2                                                                                 , BCC; Laves (L1); Laves (L2)                                                         ,                                     ,                        465.99, C                                                              ,                        1420   ,                             1885   ,                                4.2 ,                           
Cr0.2Hf0.2Nb0.2Ti0.2Zr0.2                                                                                 , BCC; Laves (L1); Laves (L2)                                                         ,                                     ,                        479.25, C                                                              ,                        1457   ,                             1908   ,                                2.2 ,                           
Cr0.2Hf0.2Nb0.2Ti0.2Zr0.2                                                                                 , BCC; Laves (L1); Laves (L2)                                                         ,                                     ,                        489.45, C                                                              ,                        1322   ,                             1726   ,                                1.4 ,                           
Cr0.2Hf0.2Nb0.2Ti0.2Zr0.2                                                                                 , BCC; Laves (L1); Laves (L2)                                                         ,                                     ,                        458.86, C                                                              ,                        1328   ,                             1884   ,                                4.5 ,                           
Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2                                                                                 , BCC                                                                                 ,                                     ,                        390.54, C                                                              ,                         929   ,                                    ,                               50.0 ,                           
Mo0.25Nb0.25Ta0.25W0.25                                                                                   , BCC                                                                                 ,                                     ,                        454.78, C                                                              ,                        1058   ,                             1211   ,                                1.5 ,                           
Mo0.2Nb0.2Ta0.2V0.2W0.2                                                                                   , BCC                                                                                 ,                                     ,                        535.33, C                                                              ,                        1246   ,                             1270   ,                                1.7 ,                           
Hf0.125Mo0.125Nb0.25Ti0.25Zr0.25                                                                          , disordered BCC solid solution                                                       ,                                     ,                              , C                                                              ,                        1176   ,                             1538   ,                               24.61,                           
C0.02439Hf0.12195Mo0.12195Nb0.2439Ti0.2439Zr0.2439                                                        , "disordered BCC solid solution; MC carbide (FCC, Zr/Hf-rich)"                       ,                                     ,                              , C                                                              ,                        1183   ,                             2139   ,                               38.39,                           
C0.069767Hf0.11628Mo0.11628Nb0.23256Ti0.23256Zr0.23256                                                    , "disordered BCC solid solution; MC carbide (FCC, Zr/Hf-rich)"                       ,                                     ,                              , C                                                              ,                        1201   ,                             1965   ,                               32.62,                           
Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2                                                                                 , BCC                                                                                 ,                                 9.91,                        335.0 , C                                                              ,                        1015.0 ,                                    ,                                    ,                         85.0
Hf0.19Mo0.048Nb0.19Ta0.19Ti0.19Zr0.19                                                                     , BCC                                                                                 ,                                 9.94,                        395.0 , C                                                              ,                        1112.0 ,                                    ,                                    ,                         96.0
Hf0.182Mo0.091Nb0.182Ta0.182Ti0.182Zr0.182                                                                , BCC                                                                                 ,                                 9.96,                        480.0 , C                                                              ,                        1317.0 ,                                    ,                                    ,                        102.0
Hf0.174Mo0.13Nb0.174Ta0.174Ti0.174Zr0.174                                                                 , BCC                                                                                 ,                                 9.97,                        492.0 , C                                                              ,                        1373.0 ,                                    ,                                    ,                        109.0
Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167                                                                , BCC                                                                                 ,                                 9.97,                        505.0 , C                                                              ,                        1512.0 ,                                    ,                               12.0 ,                        115.0
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2                                                                                 , BCC                                                                                 ,                                10.24,                        542   , C                                                              ,                        1600   ,                             1743   ,                                4   ,                           
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2                                                                                 , BCC                                                                                 ,                                10.24,                        542   , C                                                              ,                        1045   ,                             1446   ,                               19   ,                           
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2                                                                                 , BCC                                                                                 ,                                10.24,                        542   , C                                                              ,                         855   ,                                    ,                                    ,                           
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2                                                                                 , BCC                                                                                 ,                                10.24,                        542   , C                                                              ,                         404   ,                                    ,                                    ,                           
Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167                                                                , BCC                                                                                 ,                                 9.97,                        505   , C                                                              ,                        1512   ,                             1828   ,                               12   ,                           
Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167                                                                , BCC                                                                                 ,                                 9.97,                        505   , C                                                              ,                        1007   ,                             1489   ,                               23   ,                           
Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167                                                                , BCC                                                                                 ,                                 9.97,                        505   , C                                                              ,                         814   ,                                    ,                                    ,                           
Hf0.167Mo0.167Nb0.167Ta0.167Ti0.167Zr0.167                                                                , BCC                                                                                 ,                                 9.97,                        505   , C                                                              ,                         556   ,                                    ,                                    ,                           
Hf0.2Mo0.2Nb0.2Ti0.2Zr0.2                                                                                 , disordered BCC solid solution                                                       ,                                     ,                              , C                                                              ,                        1719   ,                             1803   ,                               10.12,                           
Hf0.2Mo0.2Nb0.2Ti0.2Zr0.2                                                                                 , disordered BCC solid solution                                                       ,                                     ,                              , C                                                              ,                        1575   ,                             1640   ,                                9.08,                           
Hf0.2Mo0.2Nb0.2Ti0.2Zr0.2                                                                                 , disordered BCC solid solution                                                       ,                                     ,                              , C                                                              ,                         825   ,                             1095   ,                                    ,                           
Hf0.2Mo0.2Nb0.2Ti0.2Zr0.2                                                                                 , disordered BCC solid solution                                                       ,                                     ,                              , C                                                              ,                         728   ,                              938   ,                                    ,                           
Hf0.2Mo0.2Nb0.2Ti0.2Zr0.2                                                                                 , disordered BCC solid solution                                                       ,                                     ,                              , C                                                              ,                         635   ,                              654   ,                                    ,                           
Hf0.2Mo0.2Nb0.2Ti0.2Zr0.2                                                                                 , disordered BCC solid solution                                                       ,                                     ,                              , C                                                              ,                         397   ,                              399   ,                                    ,                           
Hf0.2Mo0.2Nb0.2Ti0.2Zr0.2                                                                                 , disordered BCC solid solution                                                       ,                                     ,                              , C                                                              ,                         187   ,                              194   ,                                    ,                           
Hf0.222Nb0.222Si0.112Ti0.222V0.222                                                                        , "BCC solid solution; multi-component silicide ((Hf,Nb,Ti)-Si); V-rich phase (minor)",                                 8.6 ,                        490.0 , C                                                              ,                        1399.0 ,                             1608.0 ,                               10.9 ,                           
Hf0.222Nb0.222Si0.112Ti0.222V0.222                                                                        , "BCC solid solution; multi-component silicide ((Hf,Nb,Ti)-Si); V-rich phase (minor)",                                 8.6 ,                        490.0 , C                                                              ,                         875.0 ,                                    ,                               50.0 ,                           
Hf0.222Nb0.222Si0.112Ti0.222V0.222                                                                        , "BCC solid solution; multi-component silicide ((Hf,Nb,Ti)-Si); V-rich phase (minor)",                                 8.6 ,                        490.0 , C                                                              ,                         240.0 ,                                    ,                               50.0 ,                           
Hf0.182Nb0.182Si0.09Ti0.182V0.182Zr0.182                                                                  , bcc solid solution; Hf/Zr-rich silicide; minor V-rich phase                         ,                                 7.75,                        464   , C                                                              ,                        1540   ,                             1643   ,                               16.8 ,                           
Hf0.182Nb0.182Si0.09Ti0.182V0.182Zr0.182                                                                  , bcc solid solution; Hf/Zr-rich silicide; minor V-rich phase                         ,                                 7.75,                        464   , C                                                              ,                         920   ,                             1252   ,                                    ,                           
Hf0.182Nb0.182Si0.09Ti0.182V0.182Zr0.182                                                                  , bcc solid solution; Hf/Zr-rich silicide; minor V-rich phase                         ,                                 7.75,                        464   , C                                                              ,                         371   ,                              427   ,                                    ,                           
Hf0.182Nb0.182Si0.09Ti0.182V0.182Zr0.182                                                                  , bcc solid solution; Hf/Zr-rich silicide; reduced V-rich phase after annealing       ,                                     ,                        496   , C                                                              ,                        1483   ,                             1611   ,                                9.5 ,                           
Hf0.182Nb0.182Si0.09Ti0.182V0.182Zr0.182                                                                  , bcc solid solution; Hf/Zr-rich silicide; reduced V-rich phase after annealing       ,                                     ,                        496   , C                                                              ,                        1273   ,                             1335   ,                               14.5 ,                           
Hf0.182Nb0.182Si0.09Ti0.182V0.182Zr0.182                                                                  , bcc solid solution; Hf/Zr-rich silicide; reduced V-rich phase after annealing       ,                                     ,                        496   , C                                                              ,                         597   ,                              651   ,                                    ,                           
Hf0.182Nb0.182Si0.09Ti0.182V0.182Zr0.182                                                                  , bcc solid solution; Hf/Zr-rich silicide; reduced V-rich phase after annealing       ,                                     ,                        496   , C                                                              ,                         102   ,                              107   ,                                    ,                           
Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2                                                                                 ,                                                                                     ,                                 9.94,                        390.1 , C                                                              ,                         929   ,                                    ,                                    ,                           
Hf0.25Nb0.25Ti0.25Zr0.25                                                                                  ,                                                                                     ,                                     ,                              , C                                                              ,                         879   ,                                    ,                               16.5 ,                           
Nb0.25Ti0.25V0.25Zr0.25                                                                                   ,                                                                                     ,                                 6.52,                        335.0 , C                                                              ,                        1105   ,                                    ,                                    ,                           
Cr0.2Nb0.2Ti0.2V0.2Zr0.2                                                                                  ,                                                                                     ,                                 6.57,                        481.3 , C                                                              ,                        1298   ,                                    ,                                3.0 ,                           
Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2                                                                                 ,                                                                                     ,                                 9.72,                        295.0 , C                                                              ,                        1073   ,                                    ,                                    ,                           
Al0.091Hf0.182Nb0.182Ta0.182Ti0.182Zr0.182                                                                ,                                                                                     ,                                 9.34,                        395.9 , C                                                              ,                        1302   ,                                    ,                               46.0 ,                           
Al0.167Hf0.167Nb0.167Ta0.167Ti0.167Zr0.167                                                                ,                                                                                     ,                                 8.91,                        441.0 , C                                                              ,                        1489   ,                                    ,                               21.0 ,                           
Al0.25Nb0.25Ti0.25V0.25                                                                                   ,                                                                                     ,                                 5.59,                        440.0 , C                                                              ,                        1020   ,                                    ,                                8.5 ,                           
